system,embedding,policy,evaluation,n,accuracy,macro_f1,precision,recall,specificity,tp,tn,fp,fn,medical_fn,medical_n,medical_recall,referral_fraction,referrals,score_available,note,roc_auc,average_precision,source_version
tuned_mlp,tuned,default_0_5,outer_oof_aggregate,903,0.8726467331118494,0.8644542339696525,0.8890845070422535,0.9066427289048474,0.8179190751445087,505,283,63,52,11,334,0.9670658682634731,0.6290143964562569,568,True,Nested grouped MLP; pooled outer OOF scores are descriptive.,0.9272527267255426,0.9464285261398361,version3
tuned_mlp,tuned,default_0_5,outer_fold_0,181,0.8729281767955801,0.8649472830494729,0.8859649122807017,0.9099099099099099,0.8142857142857143,101,57,13,10,2,72,0.9722222222222222,0.6298342541436464,114,True,Outer held-out fold.,0.9447876447876448,0.9641778763052122,version3
tuned_mlp,tuned,default_0_5,outer_fold_1,181,0.8674033149171271,0.8622526636225266,0.9230769230769231,0.8571428571428571,0.8840579710144928,96,61,8,16,2,54,0.9629629629629629,0.574585635359116,104,True,Outer held-out fold.,0.92675983436853,0.9521892635883016,version3
tuned_mlp,tuned,default_0_5,outer_fold_2,180,0.8833333333333333,0.8739957998599953,0.8813559322033898,0.9369369369369369,0.7971014492753623,104,55,14,7,1,71,0.9859154929577465,0.6555555555555556,118,True,Outer held-out fold.,0.9522130826478653,0.9679259104550281,version3
tuned_mlp,tuned,default_0_5,outer_fold_3,180,0.8888888888888888,0.8811253467177387,0.8956521739130435,0.9279279279279279,0.8260869565217391,103,57,12,8,1,71,0.9859154929577465,0.6388888888888888,115,True,Outer held-out fold.,0.9459459459459459,0.9633047703790105,version3
tuned_mlp,tuned,default_0_5,outer_fold_4,181,0.850828729281768,0.8395442755360015,0.8632478632478633,0.9017857142857143,0.7681159420289855,101,53,16,11,5,66,0.9242424242424242,0.6464088397790055,117,True,Outer held-out fold.,0.9258540372670807,0.9497586420866952,version3
tuned_mlp,tuned,balanced_macro_f1,outer_oof_aggregate,903,0.8737541528239202,0.8661672629695886,0.8948306595365418,0.9012567324955116,0.8294797687861272,502,287,59,55,14,334,0.9580838323353293,0.6212624584717608,561,True,Nested grouped MLP; pooled outer OOF scores are descriptive.,0.9272527267255426,0.9464285261398361,version3
tuned_mlp,tuned,balanced_macro_f1,outer_fold_0,181,0.8784530386740331,0.8704450806871421,0.8869565217391304,0.918918918918919,0.8142857142857143,102,57,13,9,2,72,0.9722222222222222,0.6353591160220995,115,True,Outer held-out fold.,0.9447876447876448,0.9641778763052122,version3
tuned_mlp,tuned,balanced_macro_f1,outer_fold_1,181,0.8950276243093923,0.8896376881358108,0.926605504587156,0.9017857142857143,0.8840579710144928,101,61,8,11,2,54,0.9629629629629629,0.6022099447513812,109,True,Outer held-out fold.,0.92675983436853,0.9521892635883016,version3
tuned_mlp,tuned,balanced_macro_f1,outer_fold_2,180,0.8833333333333333,0.8739957998599953,0.8813559322033898,0.9369369369369369,0.7971014492753623,104,55,14,7,1,71,0.9859154929577465,0.6555555555555556,118,True,Outer held-out fold.,0.9522130826478653,0.9679259104550281,version3
