space,pair_type,pairs,mean,p05,median,p95
A,Same label,214530,0.6885491,0.34602117240428926,0.704780101776123,0.9735382050275803
A,Different label,192722,0.7190253,0.3809995502233505,0.7370096147060394,0.9960834830999372
B,Same label,214530,0.6947497,0.38707883656024933,0.717817634344101,0.9216785579919814
B,Different label,192722,0.7451812,0.48482470512390136,0.7621912658214569,0.9405233293771742
C,Same label,214530,0.80218893,0.6197744995355606,0.8185553252696991,0.933517700433731
C,Different label,192722,0.8237517,0.6827772080898286,0.8319615423679352,0.9362443596124648
