space,k,agreement,macro_label_agreement,irrelevant_agreement,relevant_agreement,shuffled_reference
A,5,0.8223698781838317,0.8126586482083,0.7710982658959538,0.8542190305206463,0.5355481727574751
A,15,0.7882613510520486,0.7789524115911348,0.7391136801541426,0.8187911430281269,0.5289774824658545
A,30,0.7533407161314137,0.7435295399591121,0.7015414258188825,0.7855176540993417,0.532078257659653
B,5,0.8529346622369879,0.8427989539336453,0.7994219653179191,0.8861759425493717,0.5286821705426357
B,15,0.8262089331856775,0.8129239699325108,0.7560693641618498,0.8697785757031719,0.5334809892949428
B,30,0.7959394610557401,0.781617995523777,0.7203275529865126,0.8429084380610413,0.5332225913621262
C,5,0.8431893687707642,0.8396073100113115,0.8242774566473988,0.8549371633752243,0.5238095238095238
C,15,0.8063492063492065,0.7988695288204426,0.766859344894027,0.8308797127468582,0.528313030638612
C,30,0.7775562938353637,0.7666437493730174,0.7199421965317919,0.813345302214243,0.5272794389073459
