,TP,FP,TN,FN,accuracy,relevant_recall,relevant_precision,irrelevant_specificity,negative_predictive_value,macro_F1,balanced_accuracy,referral_fraction
Supplied LLM (training artifacts),550.0,12.0,334.0,7.0,0.9789590254706534,0.9874326750448833,0.9786476868327402,0.9653179190751445,0.9794721407624634,0.9776820383139968,0.9763752970600139,0.6223698781838317
Always route,557.0,346.0,0.0,0.0,0.6168327796234773,1.0,0.6168327796234773,0.0,,0.3815068493150685,0.5,1.0
