selection_scope,threshold,accuracy,macro_f1,precision,relevant_recall,specificity,tp,tn,fp,fn,medical_fn,medical_n,medical_recall,referral_fraction,referrals,feasible_recall_first,selected_default_0_5,selected_balanced_macro_f1,selected_recall_first
final_all_training,0.0,0.6168327796234773,0.3815068493150685,0.6168327796234773,1.0,0.0,557,0,346,0,0,334,1.0,1.0,903,True,False,False,False
final_all_training,0.004345862132206963,0.6168327796234773,0.3815068493150685,0.6168327796234773,1.0,0.0,557,0,346,0,0,334,1.0,1.0,903,True,False,False,False
final_all_training,0.004349041394918431,0.6179401993355482,0.3846501788560717,0.6175166297117517,1.0,0.002890173410404624,557,1,345,0,0,334,1.0,0.9988925802879292,902,True,False,False,False
final_all_training,0.004352627723628873,0.6190476190476191,0.3877773047632562,0.6182019977802442,1.0,0.005780346820809248,557,2,344,0,0,334,1.0,0.9977851605758582,901,True,False,False,False
final_all_training,0.00435281540868332,0.6201550387596899,0.3908883701447217,0.6188888888888889,1.0,0.008670520231213872,557,3,343,0,0,334,1.0,0.9966777408637874,900,True,False,False,False
final_all_training,0.004573490510218701,0.6212624584717608,0.3939835164835165,0.6195773081201335,1.0,0.011560693641618497,557,4,342,0,0,334,1.0,0.9955703211517165,899,True,False,False,False
final_all_training,0.004714104535445445,0.6223698781838317,0.3970628836608218,0.6202672605790646,1.0,0.014450867052023121,557,5,341,0,0,334,1.0,0.9944629014396457,898,True,False,False,False
final_all_training,0.004784648356060772,0.6234772978959026,0.400126609978742,0.620958751393534,1.0,0.017341040462427744,557,6,340,0,0,334,1.0,0.9933554817275747,897,True,False,False,False
final_all_training,0.0048110452370705315,0.6245847176079734,0.4031748321827069,0.6216517857142857,1.0,0.02023121387283237,557,7,339,0,0,334,1.0,0.9922480620155039,896,True,False,False,False
final_all_training,0.00483463334041265,0.6256921373200443,0.40620768548349445,0.6223463687150838,1.0,0.023121387283236993,557,8,338,0,0,334,1.0,0.991140642303433,895,True,False,False,False
final_all_training,0.004846077343950348,0.6267995570321152,0.409225303578882,0.6230425055928411,1.0,0.02601156069364162,557,9,337,0,0,334,1.0,0.9900332225913622,894,True,False,False,False
final_all_training,0.004893774653075511,0.627906976744186,0.4122278186749322,0.6237402015677491,1.0,0.028901734104046242,557,10,336,0,0,334,1.0,0.9889258028792912,893,True,False,False,False
final_all_training,0.005015056408010612,0.6290143964562569,0.4152153615069216,0.624439461883408,1.0,0.031791907514450865,557,11,335,0,0,334,1.0,0.9878183831672204,892,True,False,False,False
final_all_training,0.005027825569415767,0.6301218161683277,0.41818806135991854,0.6251402918069585,1.0,0.03468208092485549,557,12,334,0,0,334,1.0,0.9867109634551495,891,True,False,False,False
final_all_training,0.0050447942136749154,0.6312292358803987,0.4211460460890171,0.6258426966292134,1.0,0.03757225433526012,557,13,333,0,0,334,1.0,0.9856035437430787,890,True,False,False,False
final_all_training,0.005162608429948946,0.6323366555924695,0.4240894421392347,0.6265466816647919,1.0,0.04046242774566474,557,14,332,0,0,334,1.0,0.9844961240310077,889,True,False,False,False
final_all_training,0.005257105724959333,0.6334440753045404,0.4270183745650778,0.6272522522522522,1.0,0.04335260115606936,557,15,331,0,0,334,1.0,0.9833887043189369,888,True,False,False,False
final_all_training,0.005350449185431437,0.6345514950166113,0.42993296704978495,0.6279594137542277,1.0,0.046242774566473986,557,16,330,0,0,334,1.0,0.982281284606866,887,True,False,False,False
final_all_training,0.005375764406563726,0.6356589147286822,0.43283334192425105,0.628668171557562,1.0,0.049132947976878616,557,17,329,0,0,334,1.0,0.9811738648947951,886,True,False,False,False
final_all_training,0.005425195925057391,0.636766334440753,0.4357196201856396,0.6293785310734463,1.0,0.05202312138728324,557,18,328,0,0,334,1.0,0.9800664451827242,885,True,False,False,False
final_all_training,0.005654076878492557,0.6378737541528239,0.4385919215156902,0.6300904977375565,1.0,0.05491329479768786,557,19,327,0,0,334,1.0,0.9789590254706534,884,True,False,False,False
final_all_training,0.0056635081457132655,0.6389811738648948,0.441450364298725,0.6308040770101925,1.0,0.057803468208092484,557,20,326,0,0,334,1.0,0.9778516057585825,883,True,False,False,False
final_all_training,0.005920168781831755,0.6400885935769657,0.4442950656393613,0.6315192743764172,1.0,0.06069364161849711,557,21,325,0,0,334,1.0,0.9767441860465116,882,True,False,False,False
final_all_training,0.006185553027746817,0.6411960132890365,0.4471261413799359,0.6322360953461975,1.0,0.06358381502890173,557,22,324,0,0,334,1.0,0.9756367663344407,881,True,False,False,False
final_all_training,0.0063618724299833425,0.6423034330011074,0.4499437061176457,0.6329545454545454,1.0,0.06647398843930635,557,23,323,0,0,334,1.0,0.9745293466223699,880,True,False,False,False
final_all_training,0.006416640029235525,0.6434108527131783,0.45274787322141086,0.6336746302616609,1.0,0.06936416184971098,557,24,322,0,0,334,1.0,0.973421926910299,879,True,False,False,False
final_all_training,0.006452437219110635,0.6445182724252492,0.45553875484846496,0.6343963553530751,1.0,0.07225433526011561,557,25,321,0,0,334,1.0,0.9723145071982281,878,True,False,False,False
final_all_training,0.006508423037258687,0.64562569213732,0.45831646196067843,0.6351197263397947,1.0,0.07514450867052024,557,26,320,0,0,334,1.0,0.9712070874861573,877,True,False,False,False
final_all_training,0.006555139330109117,0.646733111849391,0.46108110434061916,0.6358447488584474,1.0,0.07803468208092486,557,27,319,0,0,334,1.0,0.9700996677740864,876,True,False,False,False
final_all_training,0.006613883923816135,0.64562569213732,0.460460669793565,0.6354285714285715,0.9982046678635548,0.07803468208092486,556,27,319,1,0,334,1.0,0.9689922480620154,875,True,False,False,False
final_all_training,0.007016117352963497,0.646733111849391,0.46320614954577216,0.6361556064073226,0.9982046678635548,0.08092485549132948,556,28,318,1,0,334,1.0,0.9678848283499446,874,True,False,False,False
final_all_training,0.007155443734280089,0.6478405315614618,0.4659388483856569,0.6368843069873997,0.9982046678635548,0.0838150289017341,556,29,317,1,0,334,1.0,0.9667774086378738,873,True,False,False,False
final_all_training,0.007315208424575254,0.6489479512735327,0.46865887183447086,0.6376146788990825,0.9982046678635548,0.08670520231213873,556,30,316,1,0,334,1.0,0.9656699889258029,872,True,False,False,False
final_all_training,0.007333252044130967,0.6500553709856035,0.4713663243075008,0.6383467278989667,0.9982046678635548,0.08959537572254335,556,31,315,1,0,334,1.0,0.964562569213732,871,True,False,False,False
final_all_training,0.007340976160916675,0.6511627906976745,0.47406130912869593,0.639080459770115,0.9982046678635548,0.09248554913294797,556,32,314,1,0,334,1.0,0.9634551495016611,870,True,False,False,False
final_all_training,0.007570827358811293,0.6522702104097453,0.4767439285450653,0.6398158803222095,0.9982046678635548,0.0953757225433526,556,33,313,1,0,334,1.0,0.9623477297895903,869,True,False,False,False
final_all_training,0.0077068346372018235,0.6533776301218162,0.47941428374084816,0.6405529953917051,0.9982046678635548,0.09826589595375723,556,34,312,1,0,334,1.0,0.9612403100775194,868,True,False,False,False
final_all_training,0.007899758092587257,0.654485049833887,0.4820724748514619,0.6412918108419838,0.9982046678635548,0.10115606936416185,556,35,311,1,0,334,1.0,0.9601328903654485,867,True,False,False,False
final_all_training,0.008122352660778697,0.655592469545958,0.4847186009772315,0.6420323325635104,0.9982046678635548,0.10404624277456648,556,36,310,1,0,334,1.0,0.9590254706533776,866,True,False,False,False
final_all_training,0.008318618184085778,0.6566998892580288,0.48735276019690577,0.6427745664739885,0.9982046678635548,0.1069364161849711,556,37,309,1,0,334,1.0,0.9579180509413068,865,True,False,False,False
final_all_training,0.008327371713363401,0.6578073089700996,0.48997504958096094,0.6435185185185185,0.9982046678635548,0.10982658959537572,556,38,308,1,0,334,1.0,0.9568106312292359,864,True,False,False,False
