selection_scope,outer_fold,embedding,config_id,n_estimators,forest_params,max_depth,min_samples_leaf,max_features,class_weight,mean_inner_average_precision,inner_average_precision_0,inner_average_precision_1,inner_average_precision_2,inner_rows,selection_rank
outer_fold,0,a,rf_21,200,"{""class_weight"":""balanced"",""max_depth"":null,""max_features"":""sqrt"",""min_samples_leaf"":1,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",,1,sqrt,balanced,0.947660021319824,0.956368538332754,0.9376633123796143,0.9489482132471034,722,46
outer_fold,0,a,rf_22,200,"{""class_weight"":null,""max_depth"":null,""max_features"":0.1,""min_samples_leaf"":1,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",,1,0.1,None,0.9398288602605822,0.9589061339402583,0.9280952787538677,0.9324851680876208,722,72
outer_fold,0,a,rf_23,200,"{""class_weight"":""balanced"",""max_depth"":null,""max_features"":0.1,""min_samples_leaf"":1,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",,1,0.1,balanced,0.9427562654225271,0.9536861078104485,0.9363889026962062,0.9381937857609268,722,66
outer_fold,0,b,rf_00,200,"{""class_weight"":null,""max_depth"":8,""max_features"":""sqrt"",""min_samples_leaf"":12,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",8.0,12,sqrt,None,0.9543819312123217,0.9660212652635115,0.9370828745331513,0.9600416538403023,722,24
outer_fold,0,b,rf_01,200,"{""class_weight"":""balanced"",""max_depth"":8,""max_features"":""sqrt"",""min_samples_leaf"":12,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",8.0,12,sqrt,balanced,0.9547589104692308,0.968215700930924,0.935482024177998,0.9605790062987704,722,21
outer_fold,0,b,rf_02,200,"{""class_weight"":null,""max_depth"":8,""max_features"":0.1,""min_samples_leaf"":12,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",8.0,12,0.1,None,0.9556476295301136,0.9688400672600459,0.9388436515597496,0.9592591697705453,722,17
outer_fold,0,b,rf_03,200,"{""class_weight"":""balanced"",""max_depth"":8,""max_features"":0.1,""min_samples_leaf"":12,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",8.0,12,0.1,balanced,0.9545913974687296,0.9684574795737848,0.9342133472033498,0.961103365629054,722,22
outer_fold,0,b,rf_04,200,"{""class_weight"":null,""max_depth"":8,""max_features"":""sqrt"",""min_samples_leaf"":4,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",8.0,4,sqrt,None,0.9571867730010002,0.970702890416198,0.9421013853782421,0.9587560432085607,722,14
outer_fold,0,b,rf_05,200,"{""class_weight"":""balanced"",""max_depth"":8,""max_features"":""sqrt"",""min_samples_leaf"":4,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",8.0,4,sqrt,balanced,0.9619493468642815,0.9736295778723895,0.9462201504923289,0.9659983122281259,722,1
outer_fold,0,b,rf_06,200,"{""class_weight"":null,""max_depth"":8,""max_features"":0.1,""min_samples_leaf"":4,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",8.0,4,0.1,None,0.9570528359958236,0.967897596582505,0.945475074089003,0.9577858373159628,722,15
outer_fold,0,b,rf_07,200,"{""class_weight"":""balanced"",""max_depth"":8,""max_features"":0.1,""min_samples_leaf"":4,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",8.0,4,0.1,balanced,0.959505124482981,0.9693351797234719,0.9415725039950531,0.9676076897304182,722,8
outer_fold,0,b,rf_08,200,"{""class_weight"":null,""max_depth"":8,""max_features"":""sqrt"",""min_samples_leaf"":1,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",8.0,1,sqrt,None,0.9578127539964103,0.9719161202102674,0.9406600476052986,0.9608620941736651,722,13
outer_fold,0,b,rf_09,200,"{""class_weight"":""balanced"",""max_depth"":8,""max_features"":""sqrt"",""min_samples_leaf"":1,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",8.0,1,sqrt,balanced,0.9603972233229549,0.971447474609616,0.9447865375527307,0.9649576578065182,722,5
outer_fold,0,b,rf_10,200,"{""class_weight"":null,""max_depth"":8,""max_features"":0.1,""min_samples_leaf"":1,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",8.0,1,0.1,None,0.956312146459215,0.9683292353032985,0.9434406397850998,0.9571665642892468,722,16
outer_fold,0,b,rf_11,200,"{""class_weight"":""balanced"",""max_depth"":8,""max_features"":0.1,""min_samples_leaf"":1,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",8.0,1,0.1,balanced,0.9609403099639424,0.970662164359635,0.944208959727874,0.9679498058043183,722,3
outer_fold,0,b,rf_12,200,"{""class_weight"":null,""max_depth"":null,""max_features"":""sqrt"",""min_samples_leaf"":12,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",,12,sqrt,None,0.9543276285812311,0.9659729135435967,0.9370272700312381,0.9599827021688584,722,25
outer_fold,0,b,rf_13,200,"{""class_weight"":""balanced"",""max_depth"":null,""max_features"":""sqrt"",""min_samples_leaf"":12,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",,12,sqrt,balanced,0.9548527817910192,0.9681197689253078,0.935664383775615,0.9607741926721345,722,20
outer_fold,0,b,rf_14,200,"{""class_weight"":null,""max_depth"":null,""max_features"":0.1,""min_samples_leaf"":12,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",,12,0.1,None,0.9556260710842776,0.9683829688543076,0.9390824601154913,0.9594127842830334,722,18
outer_fold,0,b,rf_15,200,"{""class_weight"":""balanced"",""max_depth"":null,""max_features"":0.1,""min_samples_leaf"":12,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",,12,0.1,balanced,0.9545913974687296,0.9684574795737848,0.9342133472033498,0.961103365629054,722,23
outer_fold,0,b,rf_16,200,"{""class_weight"":null,""max_depth"":null,""max_features"":""sqrt"",""min_samples_leaf"":4,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",,4,sqrt,None,0.959632336492608,0.9715367207879912,0.9476469818117972,0.9597133068780359,722,7
outer_fold,0,b,rf_17,200,"{""class_weight"":""balanced"",""max_depth"":null,""max_features"":""sqrt"",""min_samples_leaf"":4,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",,4,sqrt,balanced,0.9616487985087283,0.9733489085814796,0.9471214044810025,0.9644760824637029,722,2
outer_fold,0,b,rf_18,200,"{""class_weight"":null,""max_depth"":null,""max_features"":0.1,""min_samples_leaf"":4,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",,4,0.1,None,0.9578179015292055,0.9667720173767813,0.9481046479823935,0.9585770392284417,722,12
outer_fold,0,b,rf_19,200,"{""class_weight"":""balanced"",""max_depth"":null,""max_features"":0.1,""min_samples_leaf"":4,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",,4,0.1,balanced,0.9592990862004581,0.9699136022459194,0.9403565337527819,0.9676271226026731,722,10
outer_fold,0,b,rf_20,200,"{""class_weight"":null,""max_depth"":null,""max_features"":""sqrt"",""min_samples_leaf"":1,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",,1,sqrt,None,0.9602722165749622,0.9723954413695635,0.9445499143481607,0.9638712940071624,722,6
outer_fold,0,b,rf_21,200,"{""class_weight"":""balanced"",""max_depth"":null,""max_features"":""sqrt"",""min_samples_leaf"":1,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",,1,sqrt,balanced,0.9594842043657779,0.9692488845948712,0.9463358475714864,0.962867880930976,722,9
outer_fold,0,b,rf_22,200,"{""class_weight"":null,""max_depth"":null,""max_features"":0.1,""min_samples_leaf"":1,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",,1,0.1,None,0.9588814557915891,0.9696339836409289,0.9457719631142955,0.9612384206195431,722,11
outer_fold,0,b,rf_23,200,"{""class_weight"":""balanced"",""max_depth"":null,""max_features"":0.1,""min_samples_leaf"":1,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",,1,0.1,balanced,0.9608790041859284,0.9738340619830836,0.9433259324989657,0.965477018075736,722,4
outer_fold,0,c,rf_00,200,"{""class_weight"":null,""max_depth"":8,""max_features"":""sqrt"",""min_samples_leaf"":12,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",8.0,12,sqrt,None,0.9474351897702661,0.9587015631683317,0.9429542175654395,0.9406497885770271,722,47
outer_fold,0,c,rf_01,200,"{""class_weight"":""balanced"",""max_depth"":8,""max_features"":""sqrt"",""min_samples_leaf"":12,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",8.0,12,sqrt,balanced,0.9463246635525301,0.9601803060855374,0.9352522703335957,0.9435414142384573,722,52
outer_fold,0,c,rf_02,200,"{""class_weight"":null,""max_depth"":8,""max_features"":0.1,""min_samples_leaf"":12,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",8.0,12,0.1,None,0.9454044422218052,0.9642474831714205,0.9314623699949018,0.9405034734990934,722,57
outer_fold,0,c,rf_03,200,"{""class_weight"":""balanced"",""max_depth"":8,""max_features"":0.1,""min_samples_leaf"":12,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",8.0,12,0.1,balanced,0.9458512786825123,0.9589032319191633,0.9394242223491973,0.9392263817791763,722,54
outer_fold,0,c,rf_04,200,"{""class_weight"":null,""max_depth"":8,""max_features"":""sqrt"",""min_samples_leaf"":4,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",8.0,4,sqrt,None,0.9551894984055749,0.9648320839046841,0.9560045023063536,0.9447319090056869,722,19
outer_fold,0,c,rf_05,200,"{""class_weight"":""balanced"",""max_depth"":8,""max_features"":""sqrt"",""min_samples_leaf"":4,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",8.0,4,sqrt,balanced,0.9523587267002139,0.9610897274282075,0.9496190423620042,0.94636741031043,722,28
outer_fold,0,c,rf_06,200,"{""class_weight"":null,""max_depth"":8,""max_features"":0.1,""min_samples_leaf"":4,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",8.0,4,0.1,None,0.9494038524701681,0.9658819194236896,0.9384300400568037,0.9438995979300113,722,35
outer_fold,0,c,rf_07,200,"{""class_weight"":""balanced"",""max_depth"":8,""max_features"":0.1,""min_samples_leaf"":4,""n_estimators"":200,""n_jobs"":2,""random_state"":42}",8.0,4,0.1,balanced,0.9485539672143664,0.9551127508271124,0.9451292749132376,0.945419875902749,722,42
