system,embedding,policy,evaluation,n,accuracy,macro_f1,precision,recall,specificity,tp,tn,fp,fn,medical_fn,medical_n,medical_recall,referral_fraction,referrals,score_available,note,roc_auc,average_precision
tuned_rf,tuned,default_0_5,outer_oof_aggregate,903,0.8704318936877077,0.8611048664765668,0.8793103448275862,0.9156193895870736,0.7976878612716763,510,276,70,47,7,334,0.9790419161676647,0.6423034330011074,580,True,Nested selected RF; pooled OOF scores are descriptive.,0.9453772791897137,0.9654071550306514
tuned_rf,tuned,default_0_5,outer_fold_0,181,0.8453038674033149,0.8351119208745446,0.8608695652173913,0.8918918918918919,0.7714285714285715,99,54,16,12,2,72,0.9722222222222222,0.6353591160220995,115,True,Single outer-fold held-out result.,0.9321750321750321,0.9577962970022394
tuned_rf,tuned,default_0_5,outer_fold_1,181,0.8895027624309392,0.8835263835263836,0.9181818181818182,0.9017857142857143,0.8695652173913043,101,60,9,11,1,54,0.9814814814814815,0.6077348066298343,110,True,Single outer-fold held-out result.,0.9444875776397516,0.9680744206517408
tuned_rf,tuned,default_0_5,outer_fold_2,180,0.8555555555555555,0.8424030172413793,0.8512396694214877,0.9279279279279279,0.7391304347826086,103,51,18,8,1,71,0.9859154929577465,0.6722222222222223,121,True,Single outer-fold held-out result.,0.9529964747356052,0.9663203290599851
tuned_rf,tuned,default_0_5,outer_fold_3,180,0.9055555555555556,0.8986452916432048,0.9051724137931034,0.9459459459459459,0.8405797101449275,105,58,11,6,1,71,0.9859154929577465,0.6444444444444445,116,True,Single outer-fold held-out result.,0.957957957957958,0.9720510524211214
tuned_rf,tuned,default_0_5,outer_fold_4,181,0.856353591160221,0.8449934123847167,0.864406779661017,0.9107142857142857,0.7681159420289855,102,53,16,10,2,66,0.9696969696969697,0.6519337016574586,118,True,Single outer-fold held-out result.,0.9509575569358178,0.9709732452526865
tuned_rf,tuned,balanced_macro_f1,outer_oof_aggregate,903,0.8682170542635659,0.860061076853956,0.8882978723404256,0.8994614003590664,0.8179190751445087,501,283,63,56,10,334,0.9700598802395209,0.6245847176079734,564,True,Nested selected RF; pooled OOF scores are descriptive.,0.9453772791897137,0.9654071550306514
tuned_rf,tuned,balanced_macro_f1,outer_fold_0,181,0.8397790055248618,0.8297161394971614,0.8596491228070176,0.8828828828828829,0.7714285714285715,98,54,16,13,3,72,0.9583333333333334,0.6298342541436464,114,True,Single outer-fold held-out result.,0.9321750321750321,0.9577962970022394
tuned_rf,tuned,balanced_macro_f1,outer_fold_1,181,0.8729281767955801,0.8676942634673447,0.9238095238095239,0.8660714285714286,0.8840579710144928,97,61,8,15,2,54,0.9629629629629629,0.580110497237569,105,True,Single outer-fold held-out result.,0.9444875776397516,0.9680744206517408
tuned_rf,tuned,balanced_macro_f1,outer_fold_2,180,0.8722222222222222,0.8628730416349243,0.8793103448275862,0.918918918918919,0.7971014492753623,102,55,14,9,2,71,0.971830985915493,0.6444444444444445,116,True,Single outer-fold held-out result.,0.9529964747356052,0.9663203290599851
tuned_rf,tuned,balanced_macro_f1,outer_fold_3,180,0.9055555555555556,0.8992592592592592,0.9122807017543859,0.9369369369369369,0.855072463768116,104,59,10,7,1,71,0.9859154929577465,0.6333333333333333,114,True,Single outer-fold held-out result.,0.957957957957958,0.9720510524211214
tuned_rf,tuned,balanced_macro_f1,outer_fold_4,181,0.850828729281768,0.8405286343612335,0.8695652173913043,0.8928571428571429,0.782608695652174,100,54,15,12,2,66,0.9696969696969697,0.6353591160220995,115,True,Single outer-fold held-out result.,0.9509575569358178,0.9709732452526865
tuned_rf,tuned,recall_first,outer_oof_aggregate,903,0.8482834994462901,0.8264944762268078,0.8153153153153153,0.9748653500897666,0.6445086705202312,543,223,123,14,0,334,1.0,0.7375415282392026,666,True,Nested selected RF; pooled OOF scores are descriptive.,0.9453772791897137,0.9654071550306514
tuned_rf,tuned,recall_first,outer_fold_0,181,0.8342541436464088,0.8097140454163163,0.8,0.972972972972973,0.6142857142857143,108,43,27,3,0,72,1.0,0.7458563535911602,135,True,Single outer-fold held-out result.,0.9321750321750321,0.9577962970022394
tuned_rf,tuned,recall_first,outer_fold_1,181,0.861878453038674,0.8472573839662447,0.848,0.9464285714285714,0.7246376811594203,106,50,19,6,0,54,1.0,0.6906077348066298,125,True,Single outer-fold held-out result.,0.9444875776397516,0.9680744206517408
tuned_rf,tuned,recall_first,outer_fold_2,180,0.8444444444444444,0.8219332956472583,0.8120300751879699,0.972972972972973,0.6376811594202898,108,44,25,3,0,71,1.0,0.7388888888888889,133,True,Single outer-fold held-out result.,0.9529964747356052,0.9663203290599851
tuned_rf,tuned,recall_first,outer_fold_3,180,0.8611111111111112,0.8402839396628217,0.8208955223880597,0.990990990990991,0.6521739130434783,110,45,24,1,0,71,1.0,0.7444444444444445,134,True,Single outer-fold held-out result.,0.957957957957958,0.9720510524211214
tuned_rf,tuned,recall_first,outer_fold_4,181,0.8397790055248618,0.8116004450665806,0.7985611510791367,0.9910714285714286,0.5942028985507246,111,41,28,1,0,66,1.0,0.7679558011049724,139,True,Single outer-fold held-out result.,0.9509575569358178,0.9709732452526865
tuned_lr,tuned,default_0_5,outer_oof_aggregate,903,0.8726467331118494,0.8634791422632921,0.8810344827586207,0.9174147217235189,0.8005780346820809,511,277,69,46,14,334,0.9580838323353293,0.6423034330011074,580,True,Recomputed from saved Version 1 outer predictions.,0.9366289266404458,0.9583791060293543
tuned_lr,tuned,balanced_macro_f1,outer_oof_aggregate,903,0.8660022148394242,0.8572160374683266,0.8824561403508772,0.9030520646319569,0.8063583815028902,503,279,67,54,18,334,0.9461077844311377,0.6312292358803987,570,True,Recomputed from saved Version 1 outer predictions.,0.9366289266404458,0.9583791060293543
tuned_lr,tuned,recall_first,outer_oof_aggregate,903,0.8394241417497231,0.813973940581343,0.8029411764705883,0.9802513464991023,0.6127167630057804,546,212,134,11,1,334,0.9970059880239521,0.7530454042081949,680,True,Recomputed from saved Version 1 outer predictions.,0.9366289266404458,0.9583791060293543
baseline_lr_a,a,default_0_5,outer_oof_aggregate,903,0.8538205980066446,0.8404952307544079,0.8500823723228995,0.926391382405745,0.7369942196531792,516,255,91,41,6,334,0.9820359281437125,0.6722037652270211,607,True,Recomputed from saved Version 1 outer predictions.,0.9262460954120444,0.9502019524592175
baseline_lr_b,b,default_0_5,outer_oof_aggregate,903,0.8737541528239202,0.8622458811060796,0.8649093904448105,0.9425493716337523,0.7630057803468208,525,264,82,32,4,334,0.9880239520958084,0.6722037652270211,607,True,Recomputed from saved Version 1 outer predictions.,0.943005987899669,0.9625039393746164
baseline_lr_c,c,default_0_5,outer_oof_aggregate,903,0.8560354374307863,0.8401082017586872,0.838351822503962,0.9497307001795332,0.7052023121387283,529,244,102,28,3,334,0.9910179640718563,0.698781838316722,631,True,Recomputed from saved Version 1 outer predictions.,0.9343977335228983,0.9556124300676192
llm_train,,frozen_label,outer_oof_aggregate,903,0.9789590254706534,0.9776820383139968,0.9786476868327402,0.9874326750448833,0.9653179190751445,550,334,12,7,0,334,1.0,0.6223698781838317,562,False,Recomputed from saved Version 1 outer predictions.,,
always_relevant,,always_relevant,outer_oof_aggregate,903,0.6168327796234773,0.3815068493150685,0.6168327796234773,1.0,0.0,557,0,346,0,0,334,1.0,1.0,903,False,Recomputed from saved Version 1 outer predictions.,,
