system,embedding,policy,evaluation,n,accuracy,macro_f1,precision,recall,specificity,tp,tn,fp,fn,medical_fn,medical_n,medical_recall,referral_fraction,roc_auc,average_precision,score_available,note
tuned_lr,tuned,default_0_5,outer_oof_aggregate,903,0.8726467331118494,0.8634791422632921,0.8810344827586207,0.9174147217235189,0.8005780346820809,511,277,69,46,14,334,0.9580838323353293,0.6423034330011074,0.9366289266404458,0.9583791060293543,True,Nested selected LR; pooled OOF scores come from different fold-specific fitted models and are descriptive.
tuned_lr,tuned,default_0_5,outer_fold_0,181,0.8342541436464088,0.8222702278083268,0.8461538461538461,0.8918918918918919,0.7428571428571429,99,52,18,12,6,72,0.9166666666666666,0.6464088397790055,0.9338481338481338,0.9593139471682927,True,Single outer-fold held-out result.
tuned_lr,tuned,default_0_5,outer_fold_1,181,0.8839779005524862,0.8786282210939744,0.9252336448598131,0.8839285714285714,0.8840579710144928,99,61,8,13,2,54,0.9629629629629629,0.5911602209944752,0.9327122153209109,0.9598167126315724,True,Single outer-fold held-out result.
tuned_lr,tuned,default_0_5,outer_fold_2,180,0.8944444444444445,0.8859961998733291,0.8898305084745762,0.9459459459459459,0.8115942028985508,105,56,13,6,2,71,0.971830985915493,0.6555555555555556,0.9533881707794751,0.9706292688113893,True,Single outer-fold held-out result.
tuned_lr,tuned,default_0_5,outer_fold_3,180,0.8722222222222222,0.8637037037037036,0.8859649122807017,0.9099099099099099,0.8115942028985508,101,56,13,10,3,71,0.9577464788732394,0.6333333333333333,0.9360229795012404,0.9516143779382971,True,Single outer-fold held-out result.
tuned_lr,tuned,default_0_5,outer_fold_4,181,0.8784530386740331,0.8660882432068873,0.8629032258064516,0.9553571428571429,0.7536231884057971,107,52,17,5,1,66,0.9848484848484849,0.6850828729281768,0.9337474120082816,0.9563604852529043,True,Single outer-fold held-out result.
tuned_lr,tuned,balanced_macro_f1,outer_oof_aggregate,903,0.8660022148394242,0.8572160374683266,0.8824561403508772,0.9030520646319569,0.8063583815028902,503,279,67,54,18,334,0.9461077844311377,0.6312292358803987,0.9366289266404458,0.9583791060293543,True,Nested selected LR; pooled OOF scores come from different fold-specific fitted models and are descriptive.
tuned_lr,tuned,balanced_macro_f1,outer_fold_0,181,0.8232044198895028,0.8126293995859213,0.8495575221238938,0.8648648648648649,0.7571428571428571,96,53,17,15,8,72,0.8888888888888888,0.6243093922651933,0.9338481338481338,0.9593139471682927,True,Single outer-fold held-out result.
tuned_lr,tuned,balanced_macro_f1,outer_fold_1,181,0.8839779005524862,0.8780206026764225,0.9174311926605505,0.8928571428571429,0.8695652173913043,100,60,9,12,2,54,0.9629629629629629,0.6022099447513812,0.9327122153209109,0.9598167126315724,True,Single outer-fold held-out result.
tuned_lr,tuned,balanced_macro_f1,outer_fold_2,180,0.8833333333333333,0.8769491194374817,0.9090909090909091,0.9009009009009009,0.855072463768116,100,59,10,11,4,71,0.9436619718309859,0.6111111111111112,0.9533881707794751,0.9706292688113893,True,Single outer-fold held-out result.
tuned_lr,tuned,balanced_macro_f1,outer_fold_3,180,0.8666666666666667,0.8581932773109244,0.8849557522123894,0.9009009009009009,0.8115942028985508,100,56,13,11,3,71,0.9577464788732394,0.6277777777777778,0.9360229795012404,0.9516143779382971,True,Single outer-fold held-out result.
tuned_lr,tuned,balanced_macro_f1,outer_fold_4,181,0.8729281767955801,0.8594767932489451,0.856,0.9553571428571429,0.7391304347826086,107,51,18,5,1,66,0.9848484848484849,0.6906077348066298,0.9337474120082816,0.9563604852529043,True,Single outer-fold held-out result.
tuned_lr,tuned,recall_first,outer_oof_aggregate,903,0.8394241417497231,0.813973940581343,0.8029411764705883,0.9802513464991023,0.6127167630057804,546,212,134,11,1,334,0.9970059880239521,0.7530454042081949,0.9366289266404458,0.9583791060293543,True,Illustrative recall-first targets are assumptions; pooled OOF scores are descriptive.
tuned_lr,tuned,recall_first,outer_fold_0,181,0.8453038674033149,0.8223997757218952,0.8074074074074075,0.9819819819819819,0.6285714285714286,109,44,26,2,0,72,1.0,0.7458563535911602,0.9338481338481338,0.9593139471682927,True,Single outer-fold held-out result.
tuned_lr,tuned,recall_first,outer_fold_1,181,0.8839779005524862,0.8735402734803872,0.8760330578512396,0.9464285714285714,0.782608695652174,106,54,15,6,0,54,1.0,0.6685082872928176,0.9327122153209109,0.9598167126315724,True,Single outer-fold held-out result.
tuned_lr,tuned,recall_first,outer_fold_2,180,0.8333333333333334,0.8036363636363637,0.7913669064748201,0.990990990990991,0.5797101449275363,110,40,29,1,0,71,1.0,0.7722222222222223,0.9533881707794751,0.9706292688113893,True,Single outer-fold held-out result.
tuned_lr,tuned,recall_first,outer_fold_3,180,0.8055555555555556,0.7647058823529411,0.7638888888888888,0.990990990990991,0.5072463768115942,110,35,34,1,0,71,1.0,0.8,0.9360229795012404,0.9516143779382971,True,Single outer-fold held-out result.
tuned_lr,tuned,recall_first,outer_fold_4,181,0.8287292817679558,0.7965333430032273,0.7872340425531915,0.9910714285714286,0.5652173913043478,111,39,30,1,1,66,0.9848484848484849,0.7790055248618785,0.9337474120082816,0.9563604852529043,True,Single outer-fold held-out result.
baseline_lr_a,a,default_0_5,outer_oof_aggregate,903,0.8538205980066446,0.8404952307544079,0.8500823723228995,0.926391382405745,0.7369942196531792,516,255,91,41,6,334,0.9820359281437125,0.6722037652270211,0.9262460954120444,0.9502019524592175,True,Fixed C=1 unweighted LR baseline evaluated on the same outer folds.
baseline_lr_a,a,default_0_5,outer_fold_0,181,0.8287292817679558,0.8119953090970011,0.8225806451612904,0.918918918918919,0.6857142857142857,102,48,22,9,2,72,0.9722222222222222,0.6850828729281768,0.9191763191763191,0.9501241051590065,True,Single outer-fold held-out result.
baseline_lr_a,a,default_0_5,outer_fold_1,181,0.8674033149171271,0.8578161822466615,0.8793103448275862,0.9107142857142857,0.7971014492753623,102,55,14,10,1,54,0.9814814814814815,0.6408839779005525,0.9302536231884059,0.9515634431278746,True,Single outer-fold held-out result.
baseline_lr_a,a,default_0_5,outer_fold_2,180,0.8388888888888889,0.8179852854004672,0.8153846153846154,0.954954954954955,0.6521739130434783,106,45,24,5,0,71,1.0,0.7222222222222222,0.9284501893197545,0.9554962947928046,True,Single outer-fold held-out result.
baseline_lr_a,a,default_0_5,outer_fold_3,180,0.8833333333333333,0.8755555555555555,0.8947368421052632,0.918918918918919,0.8260869565217391,102,57,12,9,1,71,0.9859154929577465,0.6333333333333333,0.9311920616268443,0.9467015596085416,True,Single outer-fold held-out result.
baseline_lr_a,a,default_0_5,outer_fold_4,181,0.850828729281768,0.8362539788909364,0.8455284552845529,0.9285714285714286,0.7246376811594203,104,50,19,8,2,66,0.9696969696969697,0.6795580110497238,0.9310300207039339,0.9550334479980419,True,Single outer-fold held-out result.
baseline_lr_b,b,default_0_5,outer_oof_aggregate,903,0.8737541528239202,0.8622458811060796,0.8649093904448105,0.9425493716337523,0.7630057803468208,525,264,82,32,4,334,0.9880239520958084,0.6722037652270211,0.943005987899669,0.9625039393746164,True,Fixed C=1 unweighted LR baseline evaluated on the same outer folds.
