selection_scope,outer_fold,embedding,C,class_weight,mean_inner_average_precision,inner_average_precision_0,inner_average_precision_1,inner_average_precision_2,inner_rows,selection_rank
outer_fold,0,a,0.01,None,0.932341929035017,0.9458202721887147,0.9097925729305613,0.9414129419857749,722,29
outer_fold,0,a,0.01,balanced,0.9323161394508519,0.9455940862696032,0.9102377024485107,0.9411166296344421,722,30
outer_fold,0,a,0.1,None,0.9353913727800477,0.9489463153452028,0.9143883098568062,0.942839493138134,722,26
outer_fold,0,a,0.1,balanced,0.9358217013985657,0.9487158022089207,0.9163040431837965,0.9424452588029795,722,25
outer_fold,0,a,1.0,None,0.9427473596128713,0.9515985292848352,0.932754164270277,0.9438893852835015,722,17
outer_fold,0,a,1.0,balanced,0.9428574169954121,0.951390483982586,0.9339010540598024,0.9432807129438481,722,16
outer_fold,0,a,10.0,None,0.9407077817677788,0.9498248594914217,0.9408388885888259,0.931459597223089,722,19
outer_fold,0,a,10.0,balanced,0.9403653520213936,0.9494324911860921,0.9406865260338648,0.9309770388442238,722,20
outer_fold,0,a,100.0,None,0.9334339787604375,0.94554162645149,0.9378247082750569,0.9169356015547655,722,27
outer_fold,0,a,100.0,balanced,0.9330197366232692,0.9453174731138984,0.9376088820922122,0.9161328546636971,722,28
outer_fold,0,b,0.01,None,0.9377822761447959,0.9641264023920308,0.9072361490264946,0.9419842770158626,722,22
outer_fold,0,b,0.01,balanced,0.9382655231625242,0.9643854375339489,0.908020602129003,0.9423905298246207,722,21
outer_fold,0,b,0.1,None,0.9502739531566274,0.9708762655233478,0.9282073534843772,0.9517382404621572,722,14
outer_fold,0,b,0.1,balanced,0.9513624669327222,0.9715543103135126,0.9305648046230683,0.9519682858615854,722,13
outer_fold,0,b,1.0,None,0.9631302920108653,0.9773515656719188,0.9478892746707965,0.9641500356898804,722,4
outer_fold,0,b,1.0,balanced,0.9632083049772399,0.9776190846294424,0.9478472862640832,0.9641585440381941,722,3
outer_fold,0,b,10.0,None,0.964353363851498,0.9713897030069656,0.9515248875054776,0.9701455010420506,722,1
outer_fold,0,b,10.0,balanced,0.9642343025519131,0.9715588307093286,0.9511758672902022,0.9699682096562084,722,2
outer_fold,0,b,100.0,None,0.9563728540107946,0.9490853282044033,0.9515966392678689,0.9684365945601119,722,9
outer_fold,0,b,100.0,balanced,0.9560149755751435,0.9474772576068288,0.9524671548223667,0.9681005142962352,722,11
outer_fold,0,c,0.01,None,0.9369108806793115,0.9541516358673063,0.92128569637749,0.9352953097931385,722,24
outer_fold,0,c,0.01,balanced,0.9372501287421211,0.9540834185685974,0.9222180993690197,0.9354488682887462,722,23
